Período,Região,Nº Receitas Eletrónicas Dispensadas,Nº Receitas Manuais Dispensadas,Valor Comparticipado pelo SNS
2016-09,Região de Saúde do Alentejo,286308,19590,5612517.36
2016-10,Região de Saúde do Alentejo,301803,17449,5717502.1
2016-11,Região de Saúde do Alentejo,304220,18973,5782086.12
2017-01,Região de Saúde do Alentejo,315087,15927,5951642.03
2017-03,Região de Saúde do Alentejo,332311,16230,6305302.2
2017-03,Região de Saúde do Algarve,227137,13095,4360536.2
2017-03,Região de Saúde LVT,2144872,118545,41053117.17
2017-04,Região de Saúde do Alentejo,286923,16037,5425942.92
2017-05,Região de Saúde do Centro,1066973,54131,21963455.95
2017-06,Região de Saúde do Algarve,210559,12614,4156174.86
2017-07,Região de Saúde do Alentejo,299722,14556,5898526.0
2017-11,Região de Saúde do Norte,2092387,102138,39217566.8
2017-11,Região de Saúde do Centro,1079804,49483,21960226.9
2017-11,Região de Saúde do Alentejo,310863,18320,5994779.41
2017-12,Região de Saúde do Norte,2009966,104298,37325507.59
2017-12,Região de Saúde LVT,1931165,127629,38090887.19
2018-01,Região de Saúde LVT,2135886,137739,41135413.46
2018-03,Região de Saúde do Alentejo,324956,14066,6135401.13
2018-03,Região de Saúde do Algarve,220657,11780,4336364.31
2018-03,Região de Saúde do Centro,1100418,46109,22286580.75
2018-03,Região de Saúde LVT,2078874,120705,40759078.27
2018-04,Região de Saúde do Norte,2001568,93737,38102899.21
2018-05,ARS Algarve,222713,11884,4377988.16
2018-05,ARS Norte,2062525,97421,39509009.06
2018-07,ARS Algarve,236618,13406,4628452.05
2018-07,ARS Centro,1090571,42649,22791239.6
2018-08,ARS LVT,1802656,91582,36459561.11
2018-09,ARS Alentejo,292910,13028,5689837.2
2018-10,ARS Alentejo,330659,14242,6266877.16
2018-10,ARS Lisboa e Vale do Tejo,2131402,123821,41995277.29
2018-10,ARS Norte,2204544,98168,42300418.63
2018-11,ARS Norte,2141576,92574,40992710.5
2019-05,ARS Centro,1146737,43570,24026275.82
2019-06,ARS Centro,1035682,36807,21724432.39
2019-06,ARS Lisboa e Vale do Tejo,1914024,94531,39258903.54
2019-07,ARS Centro,1157126,35528,24983159.91
2019-09,ARS Centro,1042812,34598,22419098.66
2019-11,ARS Centro,1115191,37651,23744211.8
2019-11,ARS Norte,2199369,82480,43494410.31
2019-12,ARS Alentejo,322198,11902,6471538.65
2019-12,ARS Algarve,230244,10180,4725171.36
2020-02,ARS Lisboa e Vale do Tejo,2091540,94859,42724076.47
2020-02,ARS Norte,2145838,75639,42418598.28
2020-03,ARS Lisboa e Vale do Tejo,2337022,82439,55945626.11
2020-06,ARS Algarve,198846,7008,4563522.73
2020-07,ARS Alentejo,298158,9578,6763225.06
2020-08,ARS Alentejo,279067,8934,5991140.31
2020-10,ARS Alentejo,301584,10333,6499943.38
2020-10,ARS Norte,2108320,57581,45073359.02
2020-11,ARS Algarve,218709,6945,4853805.84
2020-11,ARS Centro,1048552,23922,24148042.92
2020-12,ARS Algarve,210700,7569,4819320.67
2021-03,ARS Algarve,230559,7164,5178853.55
2021-03,ARS Norte,2098559,48202,46370076.88
2021-04,ARS Norte,2018737,45951,44125054.09
2021-05,ARS Centro,1052839,21446,24163170.49
2021-05,ARS Lisboa e Vale do Tejo,1950852,56946,43840167.99
2021-06,ARS Centro,1043106,20921,24125155.72
2021-07,ARS Centro,1135372,22321,25882207.57
2021-07,ARS Lisboa e Vale do Tejo,2028310,54715,47122171.81
2021-08,ARS Algarve,252234,7266,5369112.03
2021-09,ARS Centro,1075161,21137,25165084.67
2021-10,ARS Alentejo,316734,7989,6873984.02
2021-10,ARS Lisboa e Vale do Tejo,2082836,59208,46468199.02
2021-11,ARS Algarve,243324,7457,5416073.8
2021-11,ARS Norte,2352454,49844,49788261.66
2022-01,ARS Lisboa e Vale do Tejo,3092861,54031,46672746.42
2022-03,ARS Algarve,274563,7598,5777376.42
2014-02,Região de Saúde do Alentejo,311260,21714,5472530.76
2014-03,Região de Saúde do Norte,2241611,95821,35833889.42
2014-04,Região de Saúde do Centro,1127766,46547,19172574.64
2014-04,Região de Saúde LVT,2146626,110115,35500909.17
2014-05,Região de Saúde do Centro,1200489,48423,20522264.51
2014-06,Região de Saúde LVT,2082786,103136,35054013.67
2014-06,Região de Saúde do Alentejo,309904,16197,5480863.6
2014-07,Região de Saúde do Norte,2270563,96469,36788224.9
2014-08,Região de Saúde do Norte,1990271,79981,32419398.61
2014-10,Região de Saúde LVT,2385132,137486,39006857.8
2014-10,Região de Saúde do Algarve,232388,12421,
2015-01,Região de Saúde do Centro,1251171,55727,20967234.17
2015-02,Região de Saúde LVT,2143274,122905,
2015-04,Região de Saúde do Norte,2239603,89704,35818478.32
2015-05,Região de Saúde do Alentejo,332418,16615,5614835.7
2015-06,Região de Saúde do Centro,1184780,44535,20141441.22
2015-06,Região de Saúde do Algarve,230363,10108,
2015-07,Região de Saúde do Norte,2364629,94858,37771590.13
2015-07,Região de Saúde do Centro,1249109,48882,21221001.62
2015-07,Região de Saúde LVT,2339213,112461,39275255.27
2015-07,Região de Saúde do Alentejo,351033,16082,6000018.79
2015-09,Região de Saúde do Centro,1197041,44892,20246273.71
2016-01,Região de Saúde do Algarve,234645,10903,3919400.35
2016-01,Região de Saúde LVT,2348528,116481,37324550.18
2016-03,Região de Saúde do Alentejo,343601,17813,5884875.19
2016-03,Região de Saúde do Centro,1273234,48062,20980836.68
2016-03,Região de Saúde do Norte,2455785,102102,37268717.45
2016-04,Região de Saúde do Algarve,231246,11828,3979350.68
2016-04,Região de Saúde do Alentejo,320821,16809,5706960.57
2016-06,Região de Saúde do Alentejo,295554,22614,5632662.34
2016-07,Região de Saúde do Alentejo,286562,21218,5564407.34
2016-09,Região de Saúde LVT,1899969,124590,35922832.79
2016-11,Região de Saúde LVT,2035083,125301,38093031.71
2017-02,Região de Saúde do Centro,965965,42505,19184689.14
2017-05,Região de Saúde LVT,1983555,139479,40081018.54
2017-07,Região de Saúde do Algarve,220826,13341,4303756.49
2017-08,Região de Saúde do Alentejo,297811,13769,5811195.08
2017-09,Região de Saúde do Norte,1918185,89048,37182810.61
2017-10,Região de Saúde do Norte,2090025,107113,39033461.14
2017-10,Região de Saúde LVT,2013894,132086,39240845.52
2017-10,Região de Saúde do Algarve,212647,14324,4143852.03
2018-01,Região de Saúde do Norte,2200518,112257,40755225.0
2018-01,Região de Saúde do Centro,1141865,51659,22700513.12
2018-02,Região de Saúde do Alentejo,300776,14219,5571382.49
2018-04,Região de Saúde do Algarve,211736,11620,4164870.22
2018-04,Região de Saúde LVT,1974250,111977,38795791.94
2018-05,ARS Centro,1080285,45825,22046647.99
2018-06,ARS Alentejo,317331,13384,5978392.55
2018-06,ARS Algarve,221323,11242,4355615.13
2018-06,ARS Norte,2034413,88586,38883551.32
2018-07,ARS Alentejo,321777,13540,6238712.76
2018-07,ARS Norte,2083748,92369,40687791.31
2018-10,ARS Algarve,229349,12486,4542797.14
2018-11,ARS Alentejo,323488,13332,6160940.43
2018-11,ARS Centro,1102459,42006,22775401.49
2018-12,ARS Algarve,214010,10994,4291362.14
2019-01,ARS Centro,1163315,46740,23719282.01
2019-02,ARS Centro,1057901,42581,21607473.75
2019-03,ARS Centro,1098413,42985,22664008.29
2019-03,ARS Norte,2133884,93177,41293407.07
2019-05,ARS Algarve,234154,12257,4725473.02
2019-07,ARS Lisboa e Vale do Tejo,2170887,89786,45924516.03
2019-08,ARS Centro,1060413,31039,22762753.86
2019-08,ARS Norte,2010582,62844,40666825.34
2019-09,ARS Algarve,225023,9832,4546667.16
2019-10,ARS Lisboa e Vale do Tejo,2246740,108786,45372069.73
2020-01,ARS Alentejo,340275,12512,6801919.68
2020-01,ARS Centro,1173126,38741,25053257.0
2020-06,ARS Lisboa e Vale do Tejo,1690841,57106,39705756.81
2020-07,ARS Lisboa e Vale do Tejo,1847860,63368,44414469.52
2020-07,ARS Norte,1967345,59951,44938701.14
2020-08,ARS Algarve,221393,8854,4695206.79
2020-08,ARS Centro,955727,24155,21746274.61
2020-09,ARS Algarve,215870,8093,4779762.02
2021-01,ARS Lisboa e Vale do Tejo,1860771,57315,44097965.36
2021-02,ARS Algarve,197172,5803,4551683.46
2021-04,ARS Alentejo,294403,8539,6457658.27
2021-04,ARS Algarve,219832,7222,4907264.94
2021-04,ARS Centro,1030792,22030,23762760.47
2021-05,ARS Alentejo,303293,8490,6535734.14
2021-08,ARS Norte,2101398,40879,45017451.81
2021-09,ARS Norte,2109633,44427,46570355.93
2021-10,ARS Centro,1121566,22212,25696459.07
2021-12,ARS Algarve,253200,6482,5362243.08
2021-12,ARS Centro,1461292,21119,26261517.18
2022-01,ARS Alentejo,435846,7464,6845291.9
2022-01,ARS Algarve,273568,6553,5226402.82
2022-02,ARS Algarve,260912,6188,5012451.97
2022-02,ARS Norte,2502124,41116,45748194.88
2022-03,ARS Norte,2518835,45195,52576664.85
2014-01,Região de Saúde do Centro,1257455,53415,21329664.1
2014-01,Região de Saúde do Alentejo,348483,20260,6064942.54
2014-01,Região de Saúde do Algarve,232591,13289,
2014-03,Região de Saúde do Alentejo,324824,22527,5472530.76
2014-04,Região de Saúde do Algarve,211941,11315,
2014-05,Região de Saúde do Norte,2269417,96049,36224463.74
2014-06,Região de Saúde do Centro,1107642,45694,19132472.98
2014-07,Região de Saúde LVT,2275489,112995,38594406.0
2014-09,Região de Saúde do Norte,2170523,92858,35396504.37
2014-09,Região de Saúde LVT,2095339,111500,35721379.66
2015-02,Região de Saúde do Norte,2176704,95469,34029931.18
2015-02,Região de Saúde do Alentejo,321836,17247,5437041.69
2015-03,Região de Saúde LVT,2300420,127526,38356687.15
2015-04,Região de Saúde LVT,2196835,111909,36923228.68
2015-05,Região de Saúde LVT,2195987,110519,36714333.95
2015-08,Região de Saúde LVT,1949622,87167,32700431.16
2015-10,Região de Saúde do Norte,2527516,98864,38321532.19
2015-11,Região de Saúde LVT,2307335,109459,36694363.83
2015-12,Região de Saúde do Norte,2381166,95498,37136250.71
2016-01,Região de Saúde do Alentejo,345179,15871,5724110.72
2016-04,Região de Saúde LVT,2276471,110979,37351891.27
2016-05,Região de Saúde do Alentejo,318327,22536,5835501.08
2016-05,Região de Saúde do Norte,2206954,102678,36974267.82
2016-06,Região de Saúde do Norte,2058972,92814,35204858.32
2016-07,Região de Saúde do Centro,1057812,51404,20068698.0
2016-09,Região de Saúde do Centro,1013574,55225,20372770.42
2017-01,Região de Saúde do Algarve,215955,12652,4061569.07
2017-02,Região de Saúde do Algarve,194651,11954,3716604.19
2017-02,Região de Saúde do Norte,1843678,92135,34032068.18
2017-03,Região de Saúde do Centro,1135026,48202,22634086.29
2017-03,Região de Saúde do Norte,2139603,101869,39885078.96
2017-04,Região de Saúde LVT,1841763,111519,35393611.53
2017-04,Região de Saúde do Algarve,199534,12455,3843629.87
2017-05,Região de Saúde do Norte,2005450,113585,38544372.73
2017-05,Região de Saúde do Algarve,216506,13137,4257843.19
2017-06,Região de Saúde do Alentejo,298667,16751,5892839.11
2017-06,Região de Saúde LVT,1865703,125253,38176867.65
2017-07,Região de Saúde do Centro,1027640,46973,21390382.64
2017-07,Região de Saúde do Norte,1960304,94252,38235287.21
2017-08,Região de Saúde LVT,1740732,94444,35475655.87
2017-08,Região de Saúde do Centro,1008061,44150,20940037.48
2017-08,Região de Saúde do Norte,1870655,86993,36351213.28
2017-09,Região de Saúde do Alentejo,297962,13862,5816687.55
2017-10,Região de Saúde do Centro,1074104,51440,21753624.19
2017-10,Região de Saúde do Alentejo,314645,17166,5982564.09
2017-11,Região de Saúde LVT,2011184,135771,39511690.02
2017-11,Região de Saúde do Algarve,211060,14563,4256478.14
2018-02,Região de Saúde do Norte,1946101,91621,36217487.92
2018-02,Região de Saúde do Algarve,207437,11386,3932105.37
2018-04,Região de Saúde do Alentejo,310026,13665,5800695.3
2018-05,ARS Alentejo,325806,14836,6115139.16
2018-07,ARS LVT,2056685,105018,42092815.66
2018-08,ARS Norte,1941683,84540,37787524.15
2018-09,ARS Centro,1006318,39010,21134611.86
2018-09,ARS LVT,1852575,96502,37385258.6
2018-09,ARS Norte,1926825,83055,37799212.27
2019-02,ARS Lisboa e Vale do Tejo,2009438,112833,39634056.18
2019-03,ARS Alentejo,324193,13911,6184768.17
2019-03,ARS Lisboa e Vale do Tejo,2091679,111531,41478649.3
2019-05,ARS Norte,2205933,93544,43524462.0
2019-07,ARS Alentejo,338616,10801,6799649.11
2019-08,ARS Lisboa e Vale do Tejo,1863593,68910,38855989.69
2019-11,ARS Alentejo,321019,12007,6400987.29
2019-11,ARS Lisboa e Vale do Tejo,2114939,100807,42986699.28
2020-02,ARS Alentejo,315975,11425,6256867.43
2020-02,ARS Algarve,231781,9452,4676412.95
2020-03,ARS Alentejo,366564,9814,8340425.71
2020-03,ARS Algarve,257581,8946,6231771.08
2020-03,ARS Centro,1226017,29417,29982309.22
2020-04,ARS Centro,881667,14224,22054984.02
2020-05,ARS Algarve,182831,6149,4294090.77
2020-05,ARS Norte,1691465,44486,38671351.26
2020-07,ARS Algarve,224027,7908,5103665.45
2020-10,ARS Algarve,224329,7743,4911907.84
2021-01,ARS Alentejo,279650,7746,6420676.8
2021-02,ARS Alentejo,264303,7497,6023567.5
2021-02,ARS Centro,931394,19023,22243508.67
2021-02,ARS Lisboa e Vale do Tejo,1702700,48503,40086128.92
2021-03,ARS Centro,1075537,22669,25154296.18
2021-04,ARS Lisboa e Vale do Tejo,1871093,55106,42629942.0
2021-05,ARS Algarve,226923,6872,4992208.96
2021-06,ARS Alentejo,298853,7984,6505695.91
2021-06,ARS Lisboa e Vale do Tejo,1893888,53414,43244373.04
2021-07,ARS Algarve,249289,7222,5448487.38
2021-08,ARS Lisboa e Vale do Tejo,1814593,44701,41439403.6
2021-09,ARS Lisboa e Vale do Tejo,1921159,53364,44274992.75
2021-10,ARS Norte,2257265,48971,48478507.05
2021-11,ARS Lisboa e Vale do Tejo,2190957,64908,47800960.92
2021-12,ARS Lisboa e Vale do Tejo,2653927,57652,47884870.53
2022-01,ARS Centro,1664679,20568,25513418.96
2022-02,ARS Alentejo,389795,7397,6522970.82
2022-02,ARS Lisboa e Vale do Tejo,2556851,52338,44344983.52
2022-03,ARS Centro,1346302,21497,27738712.89
